problem,suite,template_fields,explicit_fields,manual_completion_fields,explicit_fraction,missing_fields,prompt
p06_two_corner_supports,expanded_paraphrased_canonical,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Support the two lower corners and load the top center downward in a three-to-one beam.
p07_lightweight_tip,expanded_paraphrased_canonical,9,7,2,0.7777777777777778,domain_dimensions;mesh_resolution,Only allow 30 percent material in a left-clamped cantilever with a downward load at the free tip.
p08_two_down_forces,expanded_paraphrased_canonical,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,"Left-clamped beam with two downward forces, one high and one low on the right boundary."
p09_l_shape_outward,expanded_paraphrased_canonical,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;load_type,"L bracket, top fixed, square domain, pull the lower-right side horizontally outward."
p10_slender_beam,expanded_paraphrased_canonical,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;support_location;load_location,"Slender six-to-one cantilever, fixed on the west side, with a downward free-end load."
s01_west_clamp,expanded_spatial_language,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Clamp the west boundary and push down at the east midpoint.
s02_east_clamp,expanded_spatial_language,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Clamp the east boundary and push down at the west midpoint.
s03_south_support,expanded_spatial_language,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;support_type;load_location,Use a southern vertical support and load the northern edge with downward pressure.
s04_north_clamp,expanded_spatial_language,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;support_type;load_type,Attach the top edge and pull the lower-right point outward.
s05_upper_corner,expanded_spatial_language,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Left wall fixed; apply a downward point load at the upper free corner.
s06_lower_corner,expanded_spatial_language,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Left wall fixed; apply an upward point load at the lower free corner.
s07_midheight_horizontal,expanded_spatial_language,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,"Left edge clamped, free side pushed to the right at mid-height."
s08_bottom_corners_pin,expanded_spatial_language,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,A three-unit beam with vertical restraints at both bottom corners and a top-center downward load.
s09_right_face_pull,expanded_spatial_language,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;support_type;load_type,Fix the top of a square bracket and pull the right face at one-quarter height.
s10_free_end_tip,expanded_spatial_language,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,"A long six-by-one bar fixed at the western end, loaded downward at the free-end midpoint."
m01_upper_lower_down,expanded_multi_load,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Left edge fixed; downward forces at both the upper-right and lower-right points.
m02_opposed_vertical,expanded_multi_load,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Left wall fixed; top-right force downward and bottom-right force upward.
m03_down_and_back,expanded_multi_load,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Left-clamped bracket arm with a downward tip load and a smaller backward horizontal load at the same right-midpoint.
m04_pressure_plus_tip,expanded_multi_load,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Bottom edge supports vertical motion; apply top pressure and an extra downward point load at midspan.
m05_three_point_loads,expanded_multi_load,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Cantilever with three downward point loads equally spaced on the free right edge.
m06_lbracket_two_forces,expanded_multi_load,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Top-fixed square bracket with rightward pull low on the right side and a downward force at the outer corner.
m07_mbb_extra_tip,expanded_multi_load,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,MBB beam with the standard upper-left downward load and a second small downward load at midspan.
m08_shear_pair,expanded_multi_load,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,A short deep left-clamped beam with one downward and one rightward load at the free-side midpoint.
m09_bridge_side_load,expanded_multi_load,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,"Bridge span with vertical bottom support, deck pressure, and a small horizontal side load at the right end."
m10_split_tip_load,expanded_multi_load,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location,Six-to-one cantilever with two downward loads bracketing the free-end midpoint.
v01_center_void,expanded_passive_region,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Left-clamped cantilever with a circular void at the center and a downward free-end load.
v02_offcenter_void,expanded_passive_region,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_type,"Cantilever with a circular cutout one third from the clamp, centered vertically."
v03_two_bolt_holes,expanded_passive_region,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Left-clamped bracket with two bolt-clearance holes near the mount and a downward right-midpoint load.
v04_protected_pad,expanded_passive_region,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Keep a protected solid pad at the loaded right end of a left-clamped beam.
v05_void_and_pad,expanded_passive_region,9,2,7,0.2222222222222222,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_direction;passive_regions,Cantilever with a central pipe void and a protected solid block at the loaded tip.
v06_rect_void,expanded_passive_region,9,6,3,0.6666666666666666,mesh_resolution;volume_fraction;load_type,Left-clamped beam with a rectangular window from x=0.8 to 1.1 and y=0.35 to 0.65.
v07_bridge_void,expanded_passive_region,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;support_type;load_direction,Bridge span with a circular service opening at midspan and top pressure.
v08_mbb_void,expanded_passive_region,9,2,7,0.2222222222222222,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_type;load_direction,MBB beam with a small circular void centered in the domain.
v09_lbracket_pad,expanded_passive_region,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;load_type,Top-fixed square bracket with a protected solid pad around the lower-right pull point.
v10_slender_void,expanded_passive_region,9,1,8,0.1111111111111111,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_type;load_location;load_direction,Six-to-one cantilever with a small circular lightening hole near the root.
a01_near_tip,expanded_ambiguous_supported,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Place the load near the free tip of a left-clamped beam.
a02_under_hole,expanded_ambiguous_supported,9,1,8,0.1111111111111111,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_location;load_direction;passive_regions,Apply force under the pipe hole in a cantilever.
a03_bracket_arm,expanded_ambiguous_supported,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;support_type;load_type,"For the bracket, pull on the lower part of the right side."
a04_somewhere_base,expanded_ambiguous_supported,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_location,Support the beam somewhere near the base and load the far side.
a05_high_resolution,expanded_ambiguous_supported,9,3,6,0.3333333333333333,domain_dimensions;support_type;support_location;load_type;load_location;load_direction,Use a high-resolution long cantilever with about half material.
a06_around_mount,expanded_ambiguous_supported,9,2,7,0.2222222222222222,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_location;load_direction,Put two bolt holes around the mount and load the motor-pad side.
a07_centerish_load,expanded_ambiguous_supported,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Cantilever with the load center-ish on the right side.
a08_upper_region,expanded_ambiguous_supported,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Load the upper region of the free end and fix the left-ish side.
a09_pressure_deck,expanded_ambiguous_supported,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_location,A bridge with pressure over the deck and supports along the underside.
a10_tip_horizontal,expanded_ambiguous_supported,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Push the tip horizontally on a top-mounted L bracket.
p11_cantilever_tip_synonym,expanded_paraphrased_canonical,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;load_type,Design a left-wall fixed rectangular beam and press downward at the free-end midpoint.
p12_mbb_support_synonym,expanded_paraphrased_canonical,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,"MBB beam: symmetry along the left edge, roller at the lower-right point, load down at the top-left point."
p13_bridge_uniform_deck,expanded_paraphrased_canonical,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Make a simply supported deck with vertical underside restraint and a uniformly downward top load.
p14_cutout_cantilever,expanded_paraphrased_canonical,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,A clamped beam with one round service opening in the middle and a vertical load at the right tip.
p15_deep_shear_wall,expanded_paraphrased_canonical,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_location,"Tall short cantilever, west side fixed, downward load at the midpoint of the east side."
p16_two_end_supports,expanded_paraphrased_canonical,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Beam supported vertically at both lower end points with a vertical downward load at the top center.
p17_low_volume_cantilever,expanded_paraphrased_canonical,9,7,2,0.7777777777777778,domain_dimensions;mesh_resolution,Use only 30% density for a left-clamped cantilever carrying a downward load at the free end.
p18_pair_right_loads,expanded_paraphrased_canonical,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,"Clamped-left rectangle with two downward right-edge point forces, one near the top and one near the bottom."
p19_square_top_fixed_pull,expanded_paraphrased_canonical,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;load_type,"Square L-style bracket, top boundary fixed, horizontal pull at the lower part of the right boundary."
p20_long_narrow_free_load,expanded_paraphrased_canonical,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Long narrow cantilever fixed at the left end and loaded vertically downward at the free end.
s11_left_boundary_midload,expanded_spatial_language,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Anchor the left boundary; apply a downward force at the middle of the opposite boundary.
s12_right_boundary_midload,expanded_spatial_language,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Anchor the right boundary; apply a downward force at the middle of the opposite boundary.
s13_top_pressure_bottom_support,expanded_spatial_language,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;support_type;load_location,Restrain the lower edge vertically and put a downward distributed load on the upper edge.
s14_top_fixed_low_pull,expanded_spatial_language,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;support_type;load_type,Fix the upper edge of a square bracket and pull outward at the lower-right side.
s15_upper_free_corner_down,expanded_spatial_language,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,"For a left-clamped rectangle, load the upper free corner downward."
s16_lower_free_corner_up,expanded_spatial_language,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,"For a left-clamped rectangle, load the lower free corner upward."
s17_mid_free_horizontal,expanded_spatial_language,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Clamp the west edge and push the east-edge midpoint horizontally outward.
s18_bottom_end_rollers,expanded_spatial_language,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Give the two bottom ends vertical roller restraints and load the upper midpoint downward.
s19_quarter_height_pull,expanded_spatial_language,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;load_type,Top-fixed square bracket with a right-edge pull at about one quarter of the height.
s20_west_fixed_long_bar,expanded_spatial_language,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_location,A six-unit bar fixed on the west side with a downward load at the east-side midpoint.
m11_two_right_edge_down,expanded_multi_load,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Left-clamped beam with downward point loads at the upper and lower right-edge locations.
m12_vertical_load_pair,expanded_multi_load,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Left-fixed beam with one downward force at the upper free corner and one upward force at the lower free corner.
m13_same_point_two_components,expanded_multi_load,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,"At the right midpoint of a left-clamped beam, apply a downward load and a smaller load pointing left."
m14_deck_pressure_midpoint,expanded_multi_load,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,"Use bottom vertical support, top downward pressure, and an additional downward point force at the top-center."
m15_three_free_edge_forces,expanded_multi_load,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_location,"Cantilever with three equal downward loads at quarter, half, and three-quarter height on the free side."
m16_bracket_pull_and_drop,expanded_multi_load,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Top-fixed bracket with a horizontal lower-right pull and a downward force at the outer corner.
m17_mbb_two_down_loads,expanded_multi_load,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,MBB setup with the normal upper-left load plus a smaller top-midspan downward point load.
m18_deep_beam_two_components,expanded_multi_load,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,"Short deep beam fixed left, with vertical downward and horizontal rightward loads at the free-side midpoint."
m19_pressure_and_side_push,expanded_multi_load,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Bridge-like span with deck pressure and a small leftward push at the right side.
m20_two_tip_loads,expanded_multi_load,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location,Long cantilever with two downward loads placed just above and below the free-end center.
v11_round_mid_opening,expanded_passive_region,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;load_type,Left-fixed cantilever with one round opening at the domain center.
v12_root_side_opening,expanded_passive_region,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Three-by-one cantilever with a circular opening near the root and a downward right-end load.
v13_mount_hole_pair,expanded_passive_region,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;load_location,Normalized bracket with two circular mounting holes near the fixed edge and a downward load at the far pad.
v14_solid_tip_insert,expanded_passive_region,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;passive_regions,Left-clamped beam with a protected solid insert around the loaded free-end midpoint.
v15_opening_and_insert,expanded_passive_region,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_direction,Cantilever with both a middle circular void and a protected solid load pad at the free end.
v16_rectangular_window,expanded_passive_region,9,2,7,0.2222222222222222,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_type;load_direction,Cantilever containing a rectangular non-design window in the center region.
v17_bridge_service_hole,expanded_passive_region,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_type;load_direction;passive_regions,Bridge span with a circular service void at midspan under a distributed top load.
v18_mbb_central_void,expanded_passive_region,9,2,7,0.2222222222222222,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_type;load_direction,Standard MBB beam but reserve a small circular void in the domain center.
v19_square_bracket_pad,expanded_passive_region,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;load_type,Top-fixed square bracket with a rectangular protected solid pad at the lower-right pull location.
v20_long_bar_root_hole,expanded_passive_region,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;load_type;passive_regions,Long left-fixed cantilever with a small circular root-side lightening hole.
a11_close_to_tip,expanded_ambiguous_supported,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_direction,Load the part close to the free tip of a cantilever.
a12_below_opening,expanded_ambiguous_supported,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_location;load_location;load_direction,Put the load below the circular opening in a clamped beam.
a13_lower_bracket_side,expanded_ambiguous_supported,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;load_type,Pull on the lower right-side area of a top-fixed bracket.
a14_base_supports,expanded_ambiguous_supported,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_location,Support the base area and apply a force on the far side of the beam.
a15_finer_long_beam,expanded_ambiguous_supported,9,1,8,0.1111111111111111,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_type;load_location;load_direction,Make the long beam fairly fine and use roughly half the material.
a16_mount_holes_motor_side,expanded_ambiguous_supported,9,2,7,0.2222222222222222,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_location;load_direction,Add bolt holes near the mount and load the far motor side.
a17_about_mid_side,expanded_ambiguous_supported,9,2,7,0.2222222222222222,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_location;load_direction,Apply the load about the middle of the free side.
a18_upper_free_region,expanded_ambiguous_supported,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Fix the left-ish side and load somewhere in the upper free region.
a19_deck_like_load,expanded_ambiguous_supported,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_location,Use deck-like loading with support along the underside.
a20_horizontal_tip_push,expanded_ambiguous_supported,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;support_type;load_direction,Push the tip sideways on an L-shaped top-mounted bracket.
normalized_multiload_bracket,normalized_bracket,9,8,1,0.8888888888888888,mesh_resolution,"Normalized mounting bracket: rectangular design envelope 4.0 by 1.5, clamped mounting edge on the left, two bolt-clearance holes near the mount, a protected solid pad at the far right, and combined downward and backward point loads at the pad. Use 35% material. Dimensions are normalized, not certified millimeter units."
